run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
42,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,3,0.0001,,,,,,,0.7232558139534884,0.7098371400636603,0.7604117477995346,0.7232558139534884,0.7339930151338766,0.7179794104557679,0.7590760959594632,0.7339930151338766,0.13137418502985046,0.4915456771850586,996243
43,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,3,0.001,,,,,,,0.6709302325581395,0.6330612915457743,0.7434884549940838,0.6709302325581395,0.6877182770663562,0.6552787901353063,0.7633855377127625,0.6877182770663562,0.13211309688035833,0.4804205894470215,415959
44,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,3,0.01,,,,,,,0.08139534883720931,0.017636216693487517,0.03801299303221384,0.08139534883720931,0.08556461001164144,0.018182609160742946,0.02902012239635692,0.08556461001164144,0.13265326466671257,0.48409533500671387,88077
45,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,5,0.0001,,,,,,,0.06511627906976744,0.027685160721288474,0.025259390385642934,0.06511627906976744,0.08556461001164144,0.04070508464145142,0.14852902115162736,0.08556461001164144,0.13312489431957866,0.5952908992767334,206962
46,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,5,0.001,,,,,,,0.06627906976744186,0.026338500836202244,0.0828607802251667,0.06627906976744186,0.08352735739231665,0.031518792969873824,0.06228878597501595,0.08352735739231665,0.13338979288589123,0.599961519241333,207833
47,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,5,5,0.01,,,,,,,0.06395348837209303,0.03143595456494832,0.03730892361868441,0.06395348837209303,0.07450523864959255,0.03916854145246512,0.06154183479891946,0.07450523864959255,0.13319647256718126,0.6054410934448242,203759
48,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,3,0.0001,,,,,,,0.6779069767441861,0.657375171912433,0.717946704046544,0.6779069767441861,0.7328288707799767,0.7125301120932734,0.7610175463195035,0.7328288707799767,0.1322747959647068,0.49320101737976074,994806
49,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,3,0.001,,,,,,,0.6755813953488372,0.6396971387200373,0.6737787035298095,0.6755813953488372,0.7150756693830035,0.6821127833129752,0.7046784057321865,0.7150756693830035,0.13214047620462815,0.5059359073638916,355097
50,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,3,0.01,,,,,,,0.07441860465116279,0.010353892821031345,0.005564007824386002,0.07441860465116279,0.08556461001164144,0.013513830428913555,0.007336248277463571,0.08556461001164144,0.13215429117513258,0.508613109588623,72998
51,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,5,0.0001,,,,,,,0.09883720930232558,0.07573131529951063,0.11590576490628432,0.09883720930232558,0.07450523864959255,0.051244468254273395,0.06962202784925778,0.07450523864959255,0.13271275841912558,0.607506513595581,155869
52,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,5,0.001,,,,,,,0.09186046511627907,0.047261531771076525,0.057045444700690395,0.09186046511627907,0.07857974388824214,0.039742069288279745,0.05449143595338251,0.07857974388824214,0.1328104911848556,0.5773482322692871,145370
53,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,7,5,0.01,,,,,,,0.08604651162790698,0.0702925630183058,0.07570636146431306,0.08604651162790698,0.08614668218859138,0.07404208639106152,0.11032213028360187,0.08614668218859138,0.13244498801785845,0.5928399562835693,140023
54,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,3,0.0001,,,,,,,0.6127906976744186,0.608699411942687,0.6499546064379356,0.6127906976744186,0.6140861466821886,0.6068106770591218,0.6566155186313634,0.6140861466821886,0.038838804045388864,9.324872493743896,433718
55,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,3,0.001,,,,,,,0.6523255813953488,0.648502277940125,0.6912438665771841,0.6523255813953488,0.6472642607683353,0.6378550221244033,0.6743527305183554,0.6472642607683353,0.03914624369421671,9.658390283584595,349316
56,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,3,0.01,,,,,,,0.07325581395348837,0.010170004540180598,0.0054643031387217435,0.07325581395348837,0.08556461001164144,0.013499326720377026,0.007327700362197083,0.08556461001164144,0.03894716307174328,9.5728919506073,100916
57,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,5,0.0001,,,,,,,0.1744186046511628,0.16645269619111336,0.19128013948708267,0.1744186046511628,0.1679278230500582,0.1500168264013969,0.1617616671485041,0.1679278230500582,0.039852518536323725,10.595516204833984,262569
58,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,5,0.001,,,,,,,0.13372093023255813,0.10760889013105036,0.1168489693462188,0.13372093023255813,0.11554132712456344,0.09807272140070247,0.12630556312107746,0.11554132712456344,0.03956901167714318,11.012405633926392,279941
59,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,3,5,0.01,,,,,,,0.08139534883720931,0.014355757461632614,0.014955048886924817,0.08139534883720931,0.08410942956926659,0.016289236323646764,0.02855457679733871,0.08410942956926659,0.03964232289513876,10.559431552886963,117133
60,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,5,3,0.0001,,,,,,,0.6174418604651163,0.5992089884987363,0.6214040864304731,0.6174418604651163,0.6257275902211874,0.6082002949180936,0.6737457827682322,0.6257275902211874,0.03915432968805003,9.625757217407227,419474
61,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,5,3,0.001,,,,,,,0.622093023255814,0.6036670311253217,0.6384090839020305,0.622093023255814,0.620197904540163,0.6025002138347895,0.6344999528484785,0.620197904540163,0.039175354879955916,9.708683252334595,309487
62,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,5,3,0.01,,,,,,,0.07209302325581396,0.019621272480369607,0.018613669688169507,0.07209302325581396,0.07421420256111758,0.020131861436672928,0.024889175399166533,0.07421420256111758,0.03873818946439166,9.406518697738647,74693
66,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,7,3,0.0001,,,,,,,0.6197674418604651,0.6123142682239557,0.6285675004700785,0.6197674418604651,0.6446449359720605,0.6364944097027105,0.6570311071138909,0.6446449359720605,0.03884993015333663,9.757099151611328,410159
67,KAN,mfcc,100,0.001,32,LBFGS,1e-5,,,,,,,,,,,,,,5,7,3,0.001,,,,,,,0.7,0.6931315815156183,0.7028760862447795,0.7,0.7505820721769499,0.7407759592665942,0.7531381103236472,0.7505820721769499,0.03877229884613392,9.689497470855713,244941
